,Unnamed: 0,price,brand,model,year,title_status,mileage,color,vin,lot,state,country,condition,totalPrice
98,98,26502,chevrolet,colorado,2017,clean vehicle,24993.0,black,  1gcgtcen4h1158648,167765108,michigan, usa,20 hours left,28519
99,99,5990,ford,mpv,2017,clean vehicle,44929.0,black,  1fm5k7b86hga87008,167656359,texas, usa,2 days left,8007
100,100,13600,ford,focus,2018,clean vehicle,16971.0,black,  1fadp3m26jl307477,167755490,south carolina, usa,21 hours left,15618
101,101,23605,cadillac,door,2017,clean vehicle,35598.0,gray,  1gyknbrsxhz114969,167765109,michigan, usa,2 days left,25622
102,102,10780,ford,mpv,2017,clean vehicle,40455.0,white,  1fm5k8ht0hga07252,167656360,texas, usa,2 days left,12797
103,103,13800,ford,focus,2018,clean vehicle,23164.0,white,  1fadp3j2xjl279400,167755491,south carolina, usa,21 hours left,15818
104,104,25201,cadillac,door,2017,clean vehicle,19011.0,no_color,  1gyknbrs8hz257399,167765111,michigan, usa,2 days left,27218
105,105,7070,ford,mpv,2017,clean vehicle,45191.0,white,  1fm5k7d82hgb39148,167656361,texas, usa,2 days left,9087
106,106,8700,ford,focus,2018,clean vehicle,21405.0,white,  1fadp3k23jl219764,167755494,south carolina, usa,21 hours left,10718
107,107,18003,chevrolet,malibu,2017,clean vehicle,19117.0,no_color,  1g1zh5sx7hf141060,167765112,michigan, usa,17 hours left,20020
108,108,8530,ford,door,2017,clean vehicle,42104.0,black,  1fm5k7f80hga03159,167656362,texas, usa,2 days left,10547
109,109,23100,dodge,durango,2018,clean vehicle,49496.0,white,  1c4rdjdg2jc329601,167755496,south carolina, usa,21 hours left,25118
110,110,24500,cadillac,door,2017,clean vehicle,32418.0,white,  1gykndrs1hz125239,167765114,michigan, usa,2 days left,26517
111,111,7000,ford,mpv,2017,clean vehicle,29882.0,white,  1fm5k7d84hgc31359,167656363,texas, usa,2 days left,9017
112,112,17000,ford,escape,2018,clean vehicle,34819.0,gold,  1fmcu9hd6juc54783,167755501,south carolina, usa,21 hours left,19018
113,113,34002,chevrolet,1500,2017,clean vehicle,31923.0,white,  3gcuktej3hg475034,167765115,michigan, usa,2 days left,36019
114,114,6980,ford,mpv,2017,clean vehicle,29168.0,gray,  1fm5k7d8xhga68751,167656364,texas, usa,2 days left,8997
115,115,25000,dodge,charger,2018,clean vehicle,28307.0,silver,  2c3cdxjg6jh224431,167755814,michigan, usa,21 hours left,27018
116,116,20802,chevrolet,colorado,2017,clean vehicle,33791.0,turquoise,  1gcgtben3h1180134,167765116,michigan, usa,2 days left,22819
117,117,9200,ford,door,2017,clean vehicle,21770.0,black,  1ftew1ep8hfa10123,167656365,texas, usa,2 days left,11217
